rank,city,state,population,latitude,longitude
8627,Phillips,WI,1520,45.6909662,-90.3978225
8628,Oakland,IA,1520,41.3091596,-95.3966671
8629,Clarendon,AR,1520,34.6944729,-91.3077703
8630,Ash Grove,MO,1520,37.3153257,-93.5852004
8631,Arcadia,IN,1519,40.1758704,-86.0216521
8632,Minco,OK,1519,35.3128615,-97.9433472
8633,Corydon,IA,1519,40.7569499,-93.3188229
8634,Reform,AL,1518,33.378451,-88.0153008
8635,Horton,KS,1518,39.6597257,-95.5253708
8636,Fairmount Heights,MD,1518,38.9011623,-76.9116989
8637,Cherokee,OK,1517,36.7544746,-98.3567403
8638,New Plymouth,ID,1517,43.9703347,-116.8198746
8639,Meade,KS,1517,37.2091116,-100.396302
8640,Cresson,PA,1517,40.4597938,-78.5916837
8641,Shepherd,MI,1517,43.524475,-84.694733
8642,Erie,IL,1516,41.6563287,-90.0790166
8643,Cannelton,IN,1516,37.9114446,-86.7444321
8644,Brooklyn Heights,OH,1516,41.4213632,-81.6774726
8645,Madison,MN,1515,45.009685,-96.195877
8646,Jefferson,NC,1515,36.420403,-81.4734376
8647,Winfield,MO,1515,38.9972723,-90.738458
8648,Tarkio,MO,1515,40.4402763,-95.3777586
8649,Lynchburg,OH,1514,39.241729,-83.7913143
8650,Hartington,NE,1513,42.6224992,-97.2644985
8651,East Canton,OH,1513,40.7872811,-81.2826095
8652,Aberdeen,OH,1513,38.6556296,-83.7610323
8653,Spencer,TN,1513,35.7472893,-85.4666413
8654,Wellman,IA,1512,41.4650649,-91.8378537
8655,Manchester,KY,1512,37.1537007,-83.7618641
8656,Fort Benton,MT,1512,47.817297,-110.671672
8657,East Hampton,NY,1511,40.9633868,-72.1847598
8658,Kremmling,CO,1511,40.0587394,-106.38863
8659,Caddo Mills,TX,1510,33.0656732,-96.2277554
8660,Wagner,SD,1510,43.079716,-98.293134
8661,Springfield,NE,1510,41.0819432,-96.13446
8662,Fairfax,SC,1510,32.9585379,-81.2372124
8663,Depoe Bay,OR,1510,44.8104233,-124.0620096
8664,Crothersville,IN,1510,38.8006115,-85.8416384
8665,Jonesboro,IN,1509,40.4797623,-85.6277537
8666,Monette,AR,1509,35.8900257,-90.3451809
8667,Warsaw,IL,1507,40.359211,-91.4345978
8668,Redfield,AR,1506,34.4450465,-92.1842971
8669,Ligonier,PA,1506,40.2430966,-79.2376363
8670,Venice,IL,1506,38.6722727,-90.169832
8671,Tennille,GA,1506,32.9359886,-82.8115273
8672,Glen Dale,WV,1505,39.9464705,-80.75575871
8673,Rossville,IN,1504,40.4169804,-86.5947239
8674,Mount Pulaski,IL,1504,40.0108767,-89.282314
8675,Shreve,OH,1504,40.6814481,-82.0218148
8676,Kenly,NC,1504,35.5959363,-78.1240031
8677,Bell Acres,PA,1504,40.5900673,-80.1664479
8678,Columbine Valley,CO,1503,39.6010989,-105.032206
8679,Gordon,NE,1503,42.8047822,-102.2032735
8680,Denton,NC,1503,35.6334713,-80.1158813
8681,Worthington,KY,1503,38.5488923,-82.7245072
8682,Farmingdale,NJ,1502,40.1965018,-74.1684757
8683,Bruceton,TN,1502,36.0381158,-88.2444874
8684,Van Meter,IA,1502,41.5332166,-93.9548406
8685,Luther,OK,1501,35.6596094,-97.1941408
8686,Summerdale,AL,1500,30.4876954,-87.6997094
8687,Brooklyn,IA,1500,41.7336092,-92.445463
8688,Lone Jack,MO,1499,38.8708419,-94.1738345
8689,Wrightsville,AR,1499,34.6023156,-92.216815
8690,Kersey,CO,1499,40.385164,-104.5691318
8691,Fort Recovery,OH,1499,40.4128241,-84.7763511
8692,Castle Dale,UT,1499,39.212192,-111.019613
8693,Lusk,WY,1498,42.762467,-104.452175
8694,West Conshohocken,PA,1496,40.0698321,-75.3162951
8695,Summit,MS,1496,31.2837867,-90.4684315
8696,Shannon,MS,1496,34.1162203,-88.7117181
8697,Greene,NY,1496,42.2628769,-74.0878112
8698,East Dubuque,IL,1496,42.4922253,-90.6429054
8699,Black Earth,WI,1496,43.1378765,-89.7482978
8700,Calhoun City,MS,1495,33.8553915,-89.3114613
8701,Calhoun City,MS,1495,33.8553915,-89.3114613
8702,Duenweg,MO,1494,37.0836716,-94.4135565
8703,Big Bend,WI,1493,42.8814034,-88.2067573
8704,Cadott,WI,1493,44.9480187,-91.1507031
8705,Marmet,WV,1493,38.2454149,-81.5671787
8706,Charlestown,MD,1493,39.5737254,-75.9749456
8707,Nutter Fort,WV,1492,39.2634213,-80.3197283
8708,Kerens,TX,1492,32.1309147,-96.2285021
8709,Hodgkins,IL,1492,41.7689207,-87.857835
8710,Carnegie,OK,1491,35.1036699,-98.6036736
8711,Bremen,OH,1491,39.7017328,-82.4268216
8712,Freedom,PA,1491,40.6856221,-80.2517277
8713,New Paris,OH,1491,39.8569934,-84.7932918
8714,Mercersburg,PA,1491,39.8282214,-77.9037226
8715,Terra Alta,WV,1491,39.4457091,-79.5465646
8716,Nederland,CO,1490,39.9653685,-105.509447
8717,Arlington,OH,1490,40.8936647,-83.6502092
8718,Richland,PA,1490,40.3592589,-76.2582849
8719,New Middletown,OH,1490,40.9611713,-80.5575706
8720,Milford,UT,1489,38.3969108,-113.0107892
8721,Independence,WI,1489,44.3569071,-91.4204347
8722,North Redington Beach,FL,1489,27.8161361,-82.8206587
8723,Richmond,MN,1489,45.4541305,-94.518332
8724,Lockney,TX,1488,34.1245183,-101.4415521
8725,Inglis,FL,1488,29.0302514,-82.6687161
8726,Coalville,UT,1488,40.9177251,-111.3993634
8727,Englewood,TN,1487,35.4245184,-84.4874289
8728,Estancia,NM,1487,34.7583935,-106.05585
8729,Herscher,IL,1487,41.0495316,-88.09621
8730,Newport,PA,1487,40.478106,-77.13350153
8731,Warren Park,IN,1486,39.77701775,-86.05233064
8732,Salem,WV,1486,39.2828653,-80.5589856
8733,Head of the Harbor,NY,1484,40.8954455,-73.16386874
8734,Holstein,IA,1484,42.4891531,-95.545003
8735,Shepherdstown,WV,1484,39.4300996,-77.804161
8736,Rollingwood,TX,1483,30.2742428,-97.7855814
8737,Grapeland,TX,1482,31.491845,-95.4785606
8738,Nooksack,WA,1482,48.9240143,-122.32366
8739,Bedford,IA,1481,40.6669321,-94.721358
8740,Crosbyton,TX,1480,33.6600847,-101.2379276
8741,Woodstock,AL,1480,33.196984,-87.1253909
8742,South Carthage,TN,1480,36.2419991,-85.9519317
8743,Monona,IA,1480,42.0218737,-95.9356631
8744,Pinebluff,NC,1478,35.1098795,-79.4722589
8745,Winlock,WA,1478,46.4924025,-122.9388355
8746,Oakdale,PA,1477,40.3981246,-80.1856134
8747,New Haven,WV,1477,38.986468,-81.9734718
8748,Nescopeck,PA,1477,41.0520964,-76.2205418
8749,Versailles,PA,1477,40.3156253,-79.8311582
8750,Crane,MO,1474,36.9053361,-93.5715839
8751,Wheeler,TX,1474,35.3921902,-100.2632764
8752,South Palm Beach,FL,1474,26.588958,-80.0386522
8753,Mayville,NY,1474,42.2494785,-79.49947032
8754,North Pekin,IL,1473,40.6150384,-89.6223229
8755,Corrigan,TX,1473,30.9968565,-94.8271527
8756,Zeigler,IL,1472,37.8994945,-89.0520194
8757,Waterford,PA,1472,41.9424811,-79.9842062
8758,Leoti,KS,1472,38.479741,-101.3587713
8759,Ironton,MO,1472,37.5972724,-90.6273444
8760,Duncannon,PA,1471,40.3931433,-77.0325751
8761,Mars,PA,1471,40.6958342,-80.011878
8762,Darien,GA,1471,31.3702255,-81.4339903
8763,Bement,IL,1471,39.9219782,-88.572008
8764,Livonia,NY,1471,42.8214525,-77.6686097
8765,Ovid,MI,1471,43.0058396,-84.3714696
8766,Exmore,VA,1470,37.5318069,-75.8229914
8767,Colwich,KS,1469,37.7791785,-97.5364351
8768,Belle Plaine,KS,1469,37.3939098,-97.281155
8769,Emigration Canyon metro township,UT,1469,None,None
8770,Orfordville,WI,1469,42.6278176,-89.2557081
8771,Mullens,WV,1469,37.5832541,-81.3804607
8772,Anna,OH,1468,40.3944932,-84.1727231
8773,Castleton-on-Hudson,NY,1468,42.5308134,-73.7553018
8774,Baird,TX,1468,32.3970425,-99.39828783
8775,Lincolnton,GA,1468,33.793705,-82.4795695
8776,Hazen,AR,1468,34.7813665,-91.5789815
8777,Del Norte,CO,1468,37.678112,-106.3535338
8778,Richland,GA,1467,32.0879342,-84.6674203
8779,Bowman,ND,1467,46.1010498,-103.5086625
8780,Roxana,IL,1466,38.8482602,-90.0768875
8781,Murfreesboro,AR,1465,34.0623308,-93.6899049
8782,Schoolcraft,MI,1465,46.1902943,-86.1833841
8783,Stanton,NE,1464,41.9220687,-97.2141158
8784,Darrington,WA,1464,48.252261,-121.6038768
8785,Benld,IL,1463,39.0928246,-89.8039845
8786,Shaw,MS,1462,33.6023471,-90.7712419
